userId,sessionId,eventTime,pageName,device
user_144,u144s0,2025-01-01 01:58:46,start,IOS
user_144,u144s0,2025-01-01 02:02:29,info,IOS
user_144,u144s0,2025-01-01 02:07:42,start,Android
user_144,u144s0,2025-01-01 02:17:20,step1,Web
user_144,u144s0,2025-01-01 02:27:01,help1,Web
user_144,u144s0,2025-01-01 02:30:38,step1,IOS
user_144,u144s0,2025-01-01 02:35:53,step2,IOS
user_718,u718s0,2025-01-01 02:36:01,start,Android
user_718,u718s0,2025-01-01 02:37:54,info,IOS
user_144,u144s0,2025-01-01 02:42:51,step1,Web
user_718,u718s0,2025-01-01 02:46:12,start,Web
user_144,u144s0,2025-01-01 02:49:49,exit,IOS
user_718,u718s0,2025-01-01 02:55:04,step1,Android
user_718,u718s0,2025-01-01 03:04:27,step2,IOS
user_718,u718s0,2025-01-01 03:10:02,help2,Android
user_718,u718s0,2025-01-01 03:13:15,step2,Android
user_202,u202s0,2025-01-01 03:17:39,start,Web
user_718,u718s0,2025-01-01 03:21:25,exit,IOS
user_202,u202s0,2025-01-01 03:24:09,info,IOS
user_202,u202s0,2025-01-01 03:25:05,start,IOS
user_202,u202s0,2025-01-01 03:32:32,info,Android
user_202,u202s0,2025-01-01 03:33:48,start,Android
user_202,u202s0,2025-01-01 03:39:44,exit,Android
user_451,u451s0,2025-01-01 04:37:28,start,Android
user_451,u451s0,2025-01-01 04:41:51,exit,IOS
user_677,u677s0,2025-01-01 06:38:45,start,Android
user_677,u677s0,2025-01-01 06:41:58,step1,IOS
user_677,u677s0,2025-01-01 06:50:38,step2,Web
user_677,u677s0,2025-01-01 06:52:22,checkout,IOS
user_677,u677s0,2025-01-01 06:55:59,exit,Android
user_578,u578s0,2025-01-01 07:30:48,start,IOS
user_578,u578s0,2025-01-01 07:40:24,info,IOS
user_578,u578s0,2025-01-01 07:42:34,start,IOS
user_578,u578s0,2025-01-01 07:42:45,step1,Web
user_578,u578s0,2025-01-01 07:50:38,step2,IOS
user_578,u578s0,2025-01-01 07:54:44,help2,Web
user_578,u578s0,2025-01-01 07:59:36,exit,Android
user_419,u419s0,2025-01-01 07:59:41,start,IOS
user_736,u736s0,2025-01-01 08:00:15,start,Android
user_419,u419s0,2025-01-01 08:03:57,exit,IOS
user_736,u736s0,2025-01-01 08:06:06,step1,Web
user_736,u736s0,2025-01-01 08:10:41,start,Android
user_736,u736s0,2025-01-01 08:16:31,exit,Android
user_124,u124s0,2025-01-01 10:19:50,start,IOS
user_124,u124s0,2025-01-01 10:21:29,step1,Android
user_484,u484s0,2025-01-01 10:22:20,start,Android
user_124,u124s0,2025-01-01 10:30:12,start,IOS
user_484,u484s0,2025-01-01 10:30:48,step1,Android
user_484,u484s0,2025-01-01 10:37:41,help1,Android
